2017-09-26 14:16:37,012 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 14:16:37,013 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
2017-09-26 14:16:37,051 | __init__:171 | DEBUG | CoUninitialize()
2017-09-26 14:17:18,898 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-26 14:17:18,898 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-26 14:17:18,898 | camera:312 | INFO | Connection to camera simulate released
2017-09-26 14:28:24,342 | camera:246 | INFO | Camera simulate initialized
2017-09-26 14:28:24,377 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 14:28:24,391 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-26 14:28:24,391 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-26 14:28:24,391 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
2017-09-26 14:28:24,391 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 14:28:24,391 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
2017-09-26 14:28:24,430 | __init__:171 | DEBUG | CoUninitialize()
2017-09-26 14:28:39,246 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-26 14:28:39,247 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-26 14:28:39,247 | camera:312 | INFO | Connection to camera simulate released
2017-09-26 14:56:09,993 | camera:246 | INFO | Camera simulate initialized
2017-09-26 14:56:10,028 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 14:56:10,040 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-26 14:56:10,042 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-26 14:56:10,042 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
2017-09-26 14:56:10,042 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 14:56:10,042 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
2017-09-26 14:56:10,078 | __init__:171 | DEBUG | CoUninitialize()
2017-09-26 14:56:26,262 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-26 14:56:26,263 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-26 14:56:26,263 | camera:312 | INFO | Connection to camera simulate released
2017-09-27 10:48:47,510 | camera:246 | INFO | Camera simulate initialized
2017-09-27 10:48:47,552 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 10:48:47,565 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-27 10:48:47,566 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-27 10:48:47,566 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
2017-09-27 10:48:47,566 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 10:48:47,566 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
2017-09-27 10:48:47,608 | __init__:171 | DEBUG | CoUninitialize()
2017-09-27 10:51:46,720 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-27 10:51:46,720 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-27 10:51:46,720 | camera:312 | INFO | Connection to camera simulate released
2017-09-27 10:54:53,953 | camera:246 | INFO | Camera simulate initialized
2017-09-27 10:54:53,986 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 10:54:54,000 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-27 10:54:54,000 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-27 10:54:54,000 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
2017-09-27 10:54:54,000 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 10:54:54,000 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
2017-09-27 10:54:54,039 | __init__:171 | DEBUG | CoUninitialize()
2017-09-27 10:56:56,693 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-27 10:56:56,696 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-27 10:56:56,696 | camera:312 | INFO | Connection to camera simulate released
2017-09-27 10:58:06,608 | camera:246 | INFO | Camera simulate initialized
2017-09-27 10:58:06,641 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 10:58:06,654 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-27 10:58:06,655 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-27 10:58:06,655 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
2017-09-27 10:58:06,655 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 10:58:06,655 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
2017-09-27 10:58:06,694 | __init__:171 | DEBUG | CoUninitialize()
2017-09-27 10:58:23,334 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-27 10:58:23,335 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-27 10:58:23,335 | camera:312 | INFO | Connection to camera simulate released
2017-09-27 11:00:58,618 | camera:246 | INFO | Camera simulate initialized
2017-09-27 11:00:58,653 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:00:58,668 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-27 11:00:58,668 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-27 11:00:58,670 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
2017-09-27 11:00:58,670 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:00:58,670 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
2017-09-27 11:00:58,707 | __init__:171 | DEBUG | CoUninitialize()
2017-09-27 11:01:08,470 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-27 11:01:08,470 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-27 11:01:08,470 | camera:312 | INFO | Connection to camera simulate released
2017-09-27 11:06:00,720 | camera:246 | INFO | Camera simulate initialized
2017-09-27 11:06:00,753 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:06:00,766 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-27 11:06:00,766 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-27 11:06:00,766 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
2017-09-27 11:06:00,766 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:06:00,767 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
2017-09-27 11:06:00,805 | __init__:171 | DEBUG | CoUninitialize()
2017-09-27 11:06:21,624 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-27 11:06:21,624 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-27 11:06:21,624 | camera:312 | INFO | Connection to camera simulate released
2017-09-27 11:09:22,607 | camera:246 | INFO | Camera simulate initialized
2017-09-27 11:09:22,640 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:09:22,653 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-27 11:09:22,654 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-27 11:09:22,654 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
2017-09-27 11:09:22,654 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:09:22,654 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
2017-09-27 11:09:22,691 | __init__:171 | DEBUG | CoUninitialize()
2017-09-27 11:09:39,108 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-27 11:09:39,109 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-27 11:09:39,109 | camera:312 | INFO | Connection to camera simulate released
2017-09-27 11:12:06,782 | camera:246 | INFO | Camera simulate initialized
2017-09-27 11:12:06,816 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:12:06,829 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-27 11:12:06,831 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-27 11:12:06,831 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
2017-09-27 11:12:06,832 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:12:06,832 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
